Actual,Accessories,Arts & Crafts,"Clothing, Shoes & Jewelry",Costumes,Costumes & Accessories,Dress Up & Pretend Play,Games & Accessories,Hobbies,Home & Kitchen,Learning & Education,Other,Outdoor Recreation,Party Supplies,Puzzles,Remote & App Controlled Vehicle Parts,Remote & App Controlled Vehicles & Parts,Sports & Outdoor Play,Sports & Outdoors,Stuffed Animals & Plush Toys,Toy Figures & Playsets,Toys & Games
Accessories,0,2,2,0,1,0,1,0,2,1,9,2,2,1,0,0,0,0,0,2,14
Arts & Crafts,0,3,1,1,2,0,4,4,3,0,10,1,1,0,0,0,2,3,0,3,20
"Clothing, Shoes & Jewelry",0,3,3,2,0,0,4,1,0,1,12,2,3,1,0,1,1,0,2,4,21
Costumes,0,2,4,0,2,2,4,5,1,1,8,5,1,1,1,0,0,1,2,0,16
Costumes & Accessories,0,0,1,1,1,0,0,4,5,1,8,0,1,1,0,0,3,1,2,3,19
Dress Up & Pretend Play,0,0,1,0,0,0,1,2,2,0,5,5,1,0,0,0,3,6,3,2,18
Games & Accessories,0,1,3,1,4,1,2,1,6,2,16,1,2,1,1,0,0,1,2,2,25
Hobbies,0,2,3,3,1,0,4,8,3,3,18,1,3,3,2,1,1,3,2,3,38
Home & Kitchen,0,6,4,3,3,1,1,2,1,0,17,3,2,1,0,1,3,2,3,1,31
Learning & Education,0,0,3,0,1,0,0,2,3,0,10,1,0,1,0,1,3,0,2,2,21
Other,2,71,65,33,38,31,65,88,70,39,344,29,50,39,10,11,46,64,47,35,709
Outdoor Recreation,0,3,3,0,1,0,0,3,2,1,4,1,2,1,0,0,0,0,0,3,15
Party Supplies,0,1,2,3,1,0,1,5,4,0,9,1,0,1,0,0,4,5,3,1,16
Puzzles,0,2,2,2,2,0,2,3,2,0,7,1,0,0,1,0,2,0,1,0,17
Remote & App Controlled Vehicle Parts,0,0,0,0,1,0,1,4,1,1,6,2,2,0,2,1,1,2,4,1,11
Remote & App Controlled Vehicles & Parts,0,0,6,1,0,0,3,2,1,0,6,1,0,0,0,2,2,3,2,0,19
Sports & Outdoor Play,0,2,1,0,0,0,2,2,3,1,8,0,0,5,0,1,1,1,0,0,18
Sports & Outdoors,0,1,2,2,1,0,2,6,5,2,8,3,0,0,0,1,1,1,1,0,25
Stuffed Animals & Plush Toys,0,2,2,1,0,1,1,3,2,2,14,2,1,2,1,0,1,0,1,0,11
Toy Figures & Playsets,0,1,2,1,1,0,1,1,1,0,10,0,1,1,0,0,1,0,0,0,14
Toys & Games,1,25,32,16,11,10,30,32,31,17,132,19,18,9,1,8,14,20,23,15,279
